key	file_count	files_sample
allow_languages	1	Others/Services/LocalizationService.swift
allow_multi_languages	1	Others/Services/LocalizationService.swift
app_check_enabled	1	API/APIClientRequestInterceptor.swift
app_check_required	1	API/APIClientRequestInterceptor.swift
auth_config	0	
black_friday_banner	0	
christmas_mode	1	Others/RemoteConfig/RemoteConfig+Extensions.swift
continue_watch_time_interval	1	Others/DataStore/DataStore.swift
critical_update_config	1	Models/Common/CriticalUpdateConfig.swift
email_alert_config	1	Models/Common/EmailAlertConfig.swift
exercises_3_list_template	0	
exercises_library_enabled	1	ViewControllers/Home/HomeViewController.swift
exercises_list_template	1	ViewControllers/CompositeList/CompositeListViewController.swift
exercises_list_template_key	1	Others/CompositeList/CompositeListTemplateSourceExt.swift
extra_package_id	1	ViewControllers/Today/TodayInfoSteps/TodayInfoStepsViewModel.swift
feedback_form_config	1	Models/Common/FeedbackFormConfig.swift
feedback_form_id	1	ViewControllers/Standard/FeedbackForm/FeedbackFormViewController.swift
feedback_form_url	1	ViewControllers/Standard/FeedbackForm/FeedbackFormWebViewController.swift
intro_auto_play_after_paywall	1	ViewControllers/Accompaniment/AccompanimentViewController.swift
intro_email_step_show	0	
intro_final_button	2	ViewControllers/Intro/IntroFinalViewController.swift;ViewControllers/Intro/IntroLoadingViewController.swift
intro_flow_2_enabled	0	
intro_goals_step_show	0	
intro_interests_step_show	0	
intro_lang_step_show	0	
intro_name_step_show	0	
intro_notifications_step_show	0	
intro_premium_screen_close_allow	0	
intro_premium_screen_enabled	4	ViewControllers/Accompaniment/AccompanimentViewController.swift;ViewControllers/Intro/UIViewController+PremiumPaywall.swift;ViewControllers/Root/RootViewController.swift;ViewControllers/Today/TodayViewController.swift
intro_premium_screen_variant	4	ViewControllers/Accompaniment/AccompanimentViewController.swift;ViewControllers/Intro/UIViewController+PremiumPaywall.swift;ViewControllers/Root/RootViewController.swift;ViewControllers/Today/TodayViewController.swift
intro_reasons_step_show	0	
intro_vibes_start_subtitle	1	ViewControllers/Accompaniment/AccompanimentHintView.swift
intro_vibes_start_title	1	ViewControllers/Accompaniment/AccompanimentHintView.swift
intro_video_skip_allow	1	ViewControllers/Intro/IntroStartVideoViewController.swift
library_2_list_template	0	
library_3_list_template	0	
library_list_template	0	
library_list_template_key	1	Others/CompositeList/CompositeListTemplateSourceExt.swift
library_title	1	ViewControllers/LibraryViewController.swift
library_ua_list_template	1	Others/CompositeList/CompositeListTemplateSourceExt.swift
medias_links	0	
mini_player_cancel_mode	1	ViewControllers/MiniPlayerViewController.swift
music_suggestions	1	ViewControllers/SoundStudio/Music/SoundStudioMusicPickerViewModel.swift
new_year_banner	0	
notification_sound_type	1	Others/RemoteConfig/RemoteConfig+Extensions.swift
preload_keys	1	Others/RemoteConfig/RemoteConfigHelper.swift
premium_10_configuration	1	ViewControllers/PremiumUpgrade/Variants/PremiumUpgradeVariantViewController_v10.swift
premium_11_button_week	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_button_year	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_line2nd_week	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_line2nd_year	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_name_week	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_name_year	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_offer_week	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_offer_year	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_subs_display	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_subs_week	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_subs_year	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_11_year_label	1	ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_13_background	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_button	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_items	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_offer	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_product_id	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_related_product_id	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_13_title	1	ViewControllers/PremiumUpgrade/Variants/v13/PremiumConfiguration_v13.swift
premium_14_button_week	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_button_year	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_line2nd_week	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_line2nd_year	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_name_week	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_name_year	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_offer_week	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_offer_year	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_subs_week	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_14_subs_year	1	ViewControllers/PremiumUpgrade/Variants/v14/PremiumConfiguration_v14.swift
premium_18_items	1	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift
premium_1_button_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_button_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_line2nd_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_line2nd_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_music_from_intro	0	
premium_1_music_from_main	0	
premium_1_music_from_publication	0	
premium_1_music_from_scene	0	
premium_1_name_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_name_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_offer_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_offer_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_price_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_price_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_show_terms	2	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift;ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_1_subs_display	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_subs_month	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_subs_year	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_1_title_caps	2	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift;ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_1_title_from_intro	0	
premium_1_title_from_main	0	
premium_1_title_from_publication	0	
premium_1_title_from_scene	0	
premium_1_title_max_lines	2	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift;ViewControllers/PremiumUpgrade/Variants/v11/PremiumConfiguration_v11.swift
premium_1_video_from_intro	0	
premium_1_video_from_main	0	
premium_1_video_from_publication	0	
premium_1_video_from_scene	0	
premium_1_year_label	1	ViewControllers/PremiumUpgrade/Variants/v1/PremiumConfiguration_v1.swift
premium_20_button_month	0	
premium_20_button_year	0	
premium_20_line2nd_month	0	
premium_20_line2nd_year	0	
premium_20_offer_max_lines	0	
premium_20_offer_month	0	
premium_20_offer_year	0	
premium_20_video_from_main	0	
premium_20_video_from_publication	0	
premium_20_video_from_scene	0	
premium_20_year_label	0	
premium_21_subtitle	0	
premium_21_title_caps	0	
premium_21_title_max_lines	0	
premium_21_video_from_main	0	
premium_21_video_from_publication	0	
premium_21_video_from_scene	0	
premium_2_configuration	1	ViewControllers/PremiumUpgrade/Variants/PremiumUpgradeVariantViewController_v2.swift
premium_3_badge	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_bg	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_bottom_text	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_button	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_items	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_music	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_offer	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_product_id	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_related_product_id	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_3_title	1	ViewControllers/PremiumUpgrade/Variants/v3/PremiumConfiguration_v3.swift
premium_4_button_month	1	ViewControllers/PremiumUpgrade/Variants/v4/PremiumConfiguration_v4.swift
premium_4_button_year	1	ViewControllers/PremiumUpgrade/Variants/v4/PremiumConfiguration_v4.swift
